X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ,Field17
113.357533,3.525253,1,PO1000003866,WILMAR,SUBURMAS PLANTATIONS SDN BHD,SUBURMAS,Not RSPO Certified, ,2020/09/01 00:00:00+00,3.525253,113.357533,"3.525253, 113.357533",113.357533,3.525253,MYS,Malaysia,Sarawak,Bintulu,1-Fully Verified, , 
102.475361,3.148583,2,PO1000003868,PROSPER GROUP,CHEEKAH-KEMAYAN PLANTATIONS SDN BHD,CHEEKAH-KEMAYAN,Not RSPO Certified, ,2020/09/01 00:00:00+00,3.148583,102.475361,"3.148583, 102.475361",102.475361,3.148583,MYS,Malaysia,Pahang,Bera,1-Fully Verified, , 
117.2545,4.005167,3,PO1000004555,BERCA / CIPTA CAKRA MURDAYA,SEBAKIS INTI LESTARI,SEBAKIS INTI LESTARI,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.005167,117.2545,"4.005167, 117.2545",117.2545,4.005167,IDN,Indonesia,Kalimantan Timur,Nunukan,1-Fully Verified, , 
103.505361,2.679944,4,PO1000003869,FAR EAST HOLDINGS BERHAD,ENDAU PALM OIL MILL SDN BHD,ENDAU,Not RSPO Certified, ,2020/09/01 00:00:00+00,2.679944,103.505361,"2.679944, 103.505361",103.505361,2.679944,MYS,Malaysia,Pahang,Rompin,1-Fully Verified, , 
102.496717,-4.010267,5,PO1000004556,WILMAR,AGRINDO INDAH PERSADA,AGROINDO INDAH PERSADA 3,Not RSPO Certified, ,2020/09/01 00:00:00+00,-4.010267,102.496717,"-4.010267, 102.496717",102.496717,-4.010267,IDN,Indonesia,Bengkulu,Seluma,1-Fully Verified, , 
98.19435,4.013017,6,PO1000004557,UNKNOWN,ANUGERAH LANGKAT MAKMUR,ANUGERAH LANGKAT MAKMUR,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.013017,98.19435,"4.013017, 98.19435",98.19435,4.013017,IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified, , 
102.82,2.9934,7,PO1000003871,FAR EAST HOLDINGS BERHAD,KILANG KOSFARM SDN BHD,KOSFARM,Not RSPO Certified, ,2020/09/01 00:00:00+00,2.9934,102.82,"2.9934, 102.82",102.82,2.9934,MYS,Malaysia,Pahang,Rompin,1-Fully Verified, , 
98.2124,4.017067,8,PO1000004558,UNKNOWN,SAWIT JAYA MAKMUR SENTOSA,SAWIT JAYA MAKMUR SENTOSA,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.017067,98.2124,"4.017067, 98.2124",98.2124,4.017067,IDN,Indonesia,Sumatera Utara,Langkat,2-High Confidence, , 
102.522013,2.890795,9,PO1000003872,FAR EAST HOLDINGS BERHAD,PROSPER PALM OIL MILL SDN BHD,PROSPER,Not RSPO Certified, ,2020/09/01 00:00:00+00,2.890795,102.522013,"2.890795, 102.522013",102.522013,2.890795,MYS,Malaysia,Negeri Sembilan,Jempol,1-Fully Verified, , 
98.301517,4.033367,10,PO1000004559,UNKNOWN,SUMBER MAKMUR JAYA,SUMBER MAKMUR JAYA,Not RSPO Certified, ,2020/09/01 00:00:00+00,4.033367,98.301517,"4.033367, 98.301517",98.301517,4.033367,IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified, , 
